"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2020-01-07,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-08,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
